Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review
1Q84 : Livre 1,Haruki Murakami,9782714447074,,,,,,,,,,,
La Métamorphose,Franz Kafka,9782070414376,,,,,,,,,,,
Ainsi parlait Zarathoustra,Friedrich Nietzsche,9782253006756,,,,,,,,,,,
Candide ou l'Optimisme,Voltaire,9782290038598,,,,,,,,,,,
Gagner la guerre,Jean-Philippe Jaworski,9782070437412,,,,,,,,,,,
Hypérion,Dan Simmons,,,,,,,,,,,,
Les Misérables,Victor Hugo,9782035834256,,,,,,,,,,,
"Fondation - Le Cycle de Fondation, tome 1",Isaac Asimov,9782070415700,,,,,,,,,,,
Les Fleurs du mal,Charles Baudelaire,9782081204676,,,,,,,,,,,
Le Monde de Barney,Mordecai Richler,9782253149958,,,,,,,,,,,
Ma Mercedes est plus grosse que la tienne,Nkem Nwankwo,9782842610456,,,,,,,,,,,
Les Guerriers de l'hiver,Olivier Norek,9782749947204,,,,,,,,,,,
Je n'ai pas de bouche et il faut que je crie,Harlan Ellison,9781497609617,,,,,,,,,,,
1984,George Orwell,9782070368228,,,,,,,,,,,
La Mort immortelle,Liu Cixin,9781466853454,,,,,,,,,,,
La Forêt sombre,Liu Cixin,9782330082314,,,,,,,,,,,
Contes et récits des arts martiaux de Chine et du Japon,"Michel Random, Pascal Fauliot",9782226021205,,,,,,,,,,,
L'Assassin du roi,Robin Hobb (Megan Lindholm),9782857045670,,,,,,,,,,,
L'Apprenti assassin,Robin Hobb (Megan Lindholm),9782857045601,,,,,,,,,,,
Les Naufragés du Wager,David Grann,978-2364684119,,,,,,,,,,,
L'Anomalie,Hervé Le Tellier,9782072895098,,,,,,,,,,,
La Divine Comédie,Dante Alighieri,9782211086493,,,,,,,,,,,
Le Monde selon Garp,John Irving,9782020238175,,,,,,,,,,,
Tout sur l'économie (ou presque),"Gilles Mitteau, Heu?reka",9782228926133,,,,,,,,,,,
Le Problème à trois corps,Liu Cixin,9782330070748,,,,,,,,,,,
Captain Blood,Rafael Sabatini,9782859408077,,,,,,,,,,,
"La Fin de partie de l'enchanteur - La Belgariade, tome 5",David Eddings,9782266174725,,,,,,,,,,,
"La Tour des maléfices - La Belgariade, tome 4",David Eddings,9782266174404,,,,,,,,,,,
"Le Gambit du magicien - La Belgariade, tome 3",David Eddings,9782266170994,,,,,,,,,,,
"La Reine des sortilèges - La Belgariade, tome 2",David Eddings,9782266174398,,,,,,,,,,,
"Le Pion blanc des présages - La Belgariade, tome 1",David Eddings,9782266033756,,,,,,,,,,,
L'Énigme de la Chambre 622,Joël Dicker,,,,,,,,,,,,
Un palais d'épines et de roses,Sarah J. Maas,9782732472300,,,,,,,,,,,
La Lettre volée,Edgar Allan Poe,9782842050115,,,,,,,,,,,
L'Île au trésor,Robert Louis Stevenson,9782081204645,,,,,,,,,,,
"Vide qui songe - La Trilogie du vide, tome 1",Peter F. Hamilton,9782352942078,,,,,,,,,,,
Les Furtifs,Alain Damasio,9782370490742,,,,,,,,,,,
Le Lion,Joseph Kessel,9782070368082,,,,,,,,,,,
L'Équipage,Joseph Kessel,9782070235612,,,,,,,,,,,
Le Vieux qui lisait des romans d'amour,Luis Sepúlveda,9782020239301,,,,,,,,,,,
Personne ne gagne (Yegg),Jack Black,9782916749039,,,,,,,,,,,
La femme changée en renard,David Garnett,9782824901671,,,,,,,,,,,
Ne jamais grandir,Jackie Chan,,,,,,,,,,,,
La Voie des rois 1,Brandon Sanderson,9780765326355,,,,,,,,,,,
Demande à la poussière,John Fante,9782264033024,,,,,,,,,,,
Le cri du corps mourant,Marcel Audiard,9782749154145,,,,,,,,,,,
Le Chasseur Zéro,Pascale Roze,9782226087089,,,,,,,,,,,
Bonus,Laurent Chalumeau,9782246779117,,,,,,,,,,,
VNR,Laurent Chalumeau,9782246817598,,,,,,,,,,,
Silo,Hugh Howey,9782330024307,,,,,,,,,,,
Le poisson-scorpion,Nicolas Bouvier,9782070394951,,,,,,,,,,,
L'Usage du monde,Nicolas Bouvier,9782228894012,,,,,,,,,,,
"Le Cercle et la Flèche - Le Chaos en marche, tome 2",Patrick Ness,9782070618293,,,,,,,,,,,
"La Guerre du bruit - Le Chaos en marche,  tome 3",Patrick Ness,9782070618309,,,,,,,,,,,
L'Homme qui vendit la Lune,Robert A. Heinlein,9782070317523,,,,,,,,,,,
Le Pendule de Foucault,Umberto Eco,9782246417514,,,,,,,,,,,
"La Voix du couteau - Le Chaos en marche, tome 1",Patrick Ness,9782070618286,,,,,,,,,,,
Le rêve du mouvement perpetuel,Dexter Palmer,9782367870052,,,,,,,,,,,
"Emmanuel Macron, en marche vers l'Elysée",Nicolas Prissette,9782259251532,,,,,,,,,,,
Le Trait d'union des mondes,Jérôme Camut,9782253124337,,,,,,,,,,,
La Horde du contrevent,Alain Damasio,9782070342266,,,,,,,,,,,
A l'Est,"MC Jean Gab'1, Jean Gab'1",9782359491951,,,,,,,,,,,
Au bord de l'eau,"Luo Guanzhong (Louo Kouan-Tchong), Shi Nai-an",9782359660845,,,,,,,,,,,
Chasse royale I,Jean-Philippe Jaworski,9782361831929,,,,,,,,,,,
La Première Gorgée de bière,Philippe Delerm,9782070744831,,,,,,,,,,,
Dune,Frank Herbert,9782266155489,,,,,,,,,,,
Ils étaient dix,Agatha Christie,9782013224024,,,,,,,,,,,
L'Étranger,Albert Camus,9782070306022,,,,,,,,,,,
L'Écume des jours,Boris Vian,9782253140870,,,,,,,,,,,
Making Ideas Happen,Scott Belsky,9781591843122,,,,,,,,,,,
China export,Patrick Delahais,9782843624223,,,,,,,,,,,
L'Homme-Arbre,Joann Sfar,,,,,,,,,,,,
Moon Palace,Paul Auster,9782330026738,,,,,,,,,,,
Bilbo le Hobbit,J.R.R. Tolkien,9782267024012,,,,,,,,,,,
Chroniques de l'oiseau à ressort,Haruki Murakami,9780679775430,,,,,,,,,,,
Freedom,Jonathan Franzen,9782879296579,,,,,,,,,,,
Les Dieux voyagent toujours incognito,Laurent Gounelle,9782843375439,,,,,,,,,,,
"L'Homme sans qualités, tome 1",Robert Musil,9782020238168,,,,,,,,,,,
"Le Guide du voyageur galactique - H2G2, tome 1",Douglas Adams,9782070437436,,,,,,,,,,,
Moby Dick,Herman Melville,9782070400669,,,,,,,,,,,
Le Parfum,Patrick Süskind,9782213630380,,,,,,,,,,,
La Pierre et le Sabre,Eiji Yoshikawa,9782290006207,,,,,,,,,,,
Le Petit Prince,Antoine de Saint-Exupéry,9782070612758,,,,,,,,,,,
